config,seed,accuracy,auc,brier,log_loss
F8×H4,2,0.7155519742143432,0.7721157636392075,0.18261325359344482,0.5384935277474404
F8×H4,3,0.7165368430477214,0.7721942107948159,0.18238459527492523,0.5381260754325811
F8×H4,4,0.715283373623422,0.7718099450250409,0.182700514793396,0.5387160355605287
F8×H4,5,0.7150147730325007,0.7717849038855287,0.18261520564556122,0.5385466594254638
F8×H4,6,0.7150147730325007,0.7718242666774512,0.18263380229473114,0.5385338009871089
F8×H4,7,0.7164473095174143,0.7720700143996124,0.18251830339431763,0.5383200198758412
F8×H4,8,0.7166263765780285,0.771649326736162,0.18256846070289612,0.538456450171755
F8×H4,9,0.7154624406840362,0.7718612280258346,0.1826350837945938,0.538575040180813
F8×H4,10,0.7155519742143432,0.7717674847189884,0.18260042369365692,0.5384993272147872
F8×H4,11,0.7158205748052646,0.771861663069954,0.18257485330104828,0.5384702719113936
F8×H4,12,0.7159101083355717,0.7722010670901376,0.18247361481189728,0.5382783313434681
F8×H4,13,0.7154624406840362,0.7717522233712801,0.18259462714195251,0.5385591701165687
F8×H4,14,0.7160891753961859,0.771984728350447,0.1825525015592575,0.5384191928697354
F8×H4,15,0.7160891753961859,0.7720779322025852,0.1825159639120102,0.5383057887932131
F8×H4,16,0.7160891753961859,0.7718971104648018,0.18258878588676453,0.538564100131753
F8×H4,17,0.7154624406840362,0.7723093582723362,0.1824888288974762,0.5382117636766361
F8×H4,18,0.7155519742143432,0.7715335179915801,0.1826549619436264,0.538676082804705
F8×H4,19,0.7164473095174143,0.772315727318244,0.18240801990032196,0.5381096521008988
F8×H4,20,0.7155519742143432,0.7714986796584994,0.1827169954776764,0.5388513764343513
F8×H4,21,0.7163577759871071,0.7721885378194989,0.1824100911617279,0.5383337901334655
F8×H4,22,0.7167159101083356,0.771622493214878,0.18269535899162292,0.5387548927602437
F8×H4,23,0.717074044229564,0.7720984836867852,0.18250522017478943,0.5382992183077646
F8×H4,24,0.7169845106992568,0.772096726108543,0.18253636360168457,0.5384215891477445
F8×H4,25,0.7168949771689498,0.7722248030972914,0.1825381964445114,0.5383093712661483
F8×H4,26,0.717163577759871,0.7723922950832567,0.18249791860580444,0.5382072442270239
F8×H4,27,0.7163577759871071,0.7718757062941277,0.1826043576002121,0.5385524805060641
F8×H4,28,0.715372907153729,0.7720222987605976,0.18250182271003723,0.5383370103806688
F8×H4,29,0.7173426448204853,0.7721124921074296,0.18246278166770935,0.5382496666839303
F8×H4,30,0.7166263765780285,0.772038708624781,0.18254250288009644,0.5384401071107797
F8×H4,31,0.7174321783507924,0.77231680622766,0.18237818777561188,0.5380344184724686
F8×H4,32,0.7165368430477214,0.771577422644109,0.18269705772399902,0.5387496092235726
F8×H4,33,0.7158205748052646,0.7719453481567599,0.18258003890514374,0.5384241450789047
F8×H4,34,0.717074044229564,0.7718619240964255,0.18251068890094757,0.538402050765421
F8×H4,35,0.7160891753961859,0.7718411289875187,0.18259862065315247,0.5384585439059151
F8×H4,36,0.7166263765780285,0.7721953419095263,0.18246909976005554,0.5382886860945529
F8×H4,37,0.7142985047900439,0.7714444557594586,0.18272332847118378,0.5387732327287198
F8×H4,38,0.7166263765780285,0.772007681278186,0.18250729143619537,0.5381832212749411
F8×H4,39,0.7159996418658787,0.7717459761377257,0.18260681629180908,0.5385378936661296
F8×H4,40,0.7161787089264929,0.7720078900993634,0.1824912130832672,0.5382833117694441
F8×H4,41,0.7157310412749575,0.7715820689153041,0.1827143430709839,0.5387502492397528
F8×H4,42,0.7172531112901782,0.7720418757459702,0.18249517679214478,0.5384170355657565
F8×H4,43,0.7167159101083356,0.7722465030979666,0.18247230350971222,0.5381609126210865
F8×H4,44,0.7159996418658787,0.7717947184808621,0.18271008133888245,0.538695696848573
F8×H4,45,0.7168949771689498,0.7721771222618061,0.18251217901706696,0.5383881667034114
F8×H4,46,0.7160891753961859,0.7718931428624329,0.18256743252277374,0.5384892739785948
F8×H4,47,0.7167159101083356,0.7715742903264495,0.18270952999591827,0.5389081674073357
F8×H4,48,0.7172531112901782,0.7723450666936557,0.18237122893333435,0.5380238714161241
F8×H4,49,0.7174321783507924,0.7720004595458042,0.18247810006141663,0.5382627506888484
F8×H4,50,0.7161787089264929,0.7723480946007266,0.1823955923318863,0.5381726914207992
F8×H4,51,0.7148357059718865,0.7717869398920074,0.1826467365026474,0.5385211563536874
F8×H4,52,0.715283373623422,0.7723471027001343,0.18240997195243835,0.5380523437688324
F8×H4,53,0.7162682424568001,0.7720944986826516,0.18249601125717163,0.5382843385801068
F8×H4,54,0.7168054436386426,0.7721843787977176,0.1824541985988617,0.5382559100233895
F8×H4,55,0.7175217118810995,0.7724841241959777,0.18230284750461578,0.5378021588167462
F8×H4,56,0.717163577759871,0.772175347281799,0.18251650035381317,0.5382155377209643
F8×H4,57,0.7155519742143432,0.7718817273047401,0.18255898356437683,0.5385207757345108
F8×H4,58,0.715283373623422,0.771962941340948,0.18259799480438232,0.5383405864327724
F8×H4,59,0.7158205748052646,0.7721675338894147,0.18243712186813354,0.5381163204404648
